Sensitivity_Analysis,N,CaseIDs,ERG_min,ERG_max,ERG_mean,MAE,MAE_95CI_low,MAE_95CI_high,RMSE,RMSE_95CI_low,RMSE_95CI_high,R2,R2_95CI_low,R2_95CI_high,Pearson_r,Pearson_p,Pearson_r_95CI_low,Pearson_r_95CI_high,Spearman_r,Spearman_p,Spearman_r_95CI_low,Spearman_r_95CI_high
Primary multimodal cohort - all 33 cases,33,"14, 15, 22, 23, 24, 25, 26, 27, 29, 30, 32, 34, 35, 36, 38, 39, 40, 41, 44, 45, 46, 47, 49, 52, 53, 54, 55, 56, 57, 60, 61, 62, 63",0.0,95.0,28.727,11.678,8.622,15.171,15.045,11.189,19.005,0.695,0.53,0.799,0.842,0.0,0.756,0.917,0.844,0.0,0.71,0.911
Genetically confirmed only,29,"22, 23, 24, 25, 26, 27, 29, 30, 32, 34, 35, 36, 38, 39, 44, 45, 46, 47, 49, 52, 53, 54, 55, 56, 57, 60, 61, 62, 63",0.0,95.0,32.0,12.103,9.035,15.534,15.047,11.195,18.958,0.699,0.537,0.8,0.851,0.0,0.76,0.926,0.805,0.0,0.601,0.907
Exclude not-confirmed / VUS-only cases,31,"14, 15, 22, 23, 24, 25, 26, 27, 29, 30, 32, 34, 35, 36, 38, 39, 44, 45, 46, 47, 49, 52, 53, 54, 55, 56, 57, 60, 61, 62, 63",0.0,95.0,30.581,11.562,8.585,14.684,14.483,10.645,18.252,0.714,0.571,0.809,0.859,0.0,0.779,0.928,0.804,0.0,0.631,0.894
Exclude estimated or trace-measured ERG values,28,"14, 15, 22, 23, 24, 25, 26, 27, 29, 30, 32, 34, 35, 36, 38, 40, 41, 44, 45, 46, 47, 49, 52, 53, 54, 55, 60, 61",0.0,95.0,24.964,12.157,8.226,16.677,16.818,11.271,21.799,0.593,0.316,0.75,0.771,0.0,0.627,0.891,0.792,0.0,0.59,0.9
Exclude syndromic CORD cases,24,"14, 15, 22, 23, 24, 25, 26, 27, 29, 30, 32, 34, 35, 36, 38, 39, 40, 41, 44, 45, 46, 47, 52, 53",0.0,95.0,29.417,12.254,8.143,16.769,16.433,11.039,21.269,0.6,0.317,0.751,0.78,0.0,0.621,0.907,0.803,0.0,0.563,0.93
One eye per patient only,23,"14, 15, 22, 24, 26, 29, 30, 32, 34, 35, 36, 38, 39, 40, 44, 46, 49, 52, 53, 54, 56, 60, 62",0.0,95.0,31.043,17.599,12.593,22.804,21.516,16.056,26.601,0.404,-0.015,0.613,0.64,0.001,0.398,0.822,0.624,0.001,0.285,0.824
Exclude extinguished ERG = 0 µV,23,"14, 15, 22, 23, 24, 25, 26, 27, 29, 30, 32, 34, 35, 36, 38, 39, 44, 45, 52, 56, 57, 62, 63",7.0,95.0,41.217,10.57,7.212,14.677,14.038,8.728,19.299,0.642,0.388,0.821,0.812,0.0,0.65,0.927,0.734,0.0,0.38,0.911
Exclude extreme ERG values 0 or >=90 µV,22,"14, 15, 22, 23, 24, 25, 26, 27, 29, 30, 32, 34, 35, 38, 39, 44, 45, 52, 56, 57, 62, 63",7.0,75.0,38.773,9.569,6.819,12.748,11.981,8.09,15.792,0.672,0.356,0.843,0.826,0.0,0.635,0.942,0.722,0.0,0.36,0.908
"Strict subset: genetic, non-syndromic, no trace-estimated, one eye per patient",14,"22, 24, 26, 29, 30, 32, 34, 35, 36, 38, 44, 46, 52, 53",0.0,95.0,40.429,20.606,15.207,26.424,23.248,17.213,29.312,0.205,-0.566,0.408,0.461,0.097,-0.015,0.747,0.386,0.173,-0.233,0.776
